gpu_model,release_year,power_draw_kw,memory_gb,primary_use
NVIDIA H100 SXM,2022,0.70,80,Training / Large Scale Inference
NVIDIA A100 SXM4,2020,0.40,80,Training / Mid Scale Inference
NVIDIA T4,2018,0.07,16,Batch Inference / Light Workloads
